time_period,rainfall,mean_temperature,disease_cases,population,location
2021-08-16/2021-08-22,0.005185946431265895,296.7519144558489,31.0,100571,boaco
2021-08-23/2021-08-29,0.005793327771063236,296.54482245339693,24.0,100470,boaco
2021-08-30/2021-09-05,0.005505099245141939,296.70148421007445,24.0,100063,boaco
2021-09-06/2021-09-12,0.0037382328280513937,296.7664031624518,14.0,100020,boaco
2021-09-13/2021-09-19,0.0029883756684112995,297.04171790791145,25.0,100400,boaco
2021-09-20/2021-09-26,0.0020240507387648994,296.9096842970296,9.0,100675,boaco
2021-09-27/2021-10-03,0.004844533030133105,296.5319584814929,16.0,100170,boaco
2021-10-04/2021-10-10,0.0023310389271076603,297.51352361151874,14.0,100853,boaco
2021-10-11/2021-10-17,0.005150849783525969,296.48744775453196,16.0,100522,boaco
2021-10-18/2021-10-24,0.002779050151926516,297.3420542695466,8.0,100532,boaco
2021-10-25/2021-10-31,0.0018513057131368808,296.38801626341774,13.0,100056,boaco
2021-11-01/2021-11-07,0.00038716904129391006,296.3261214893075,25.0,100099,boaco
2021-11-08/2021-11-14,0.0020093912591525333,296.0120533250088,29.0,100929,boaco
2021-11-15/2021-11-21,0.0008608884257913592,295.96304991877133,20.0,100626,boaco
2021-11-22/2021-11-28,0.0013861545869242005,295.9314058681041,8.0,100204,boaco
2021-11-29/2021-12-05,0.002668504609015082,296.17936930333724,20.0,100813,boaco
2021-12-06/2021-12-12,0.0019049647217334442,295.44742415450486,17.0,100478,boaco
2021-12-13/2021-12-19,0.0006009743545621955,295.8276515510699,9.0,100470,boaco
2021-12-20/2021-12-26,0.0008270637918771678,295.9245991502763,4.0,100066,boaco
2021-12-27/2022-01-02,0.0012184879676442658,295.4638027315424,12.0,100899,boaco
2022-01-03/2022-01-09,0.001086762261508488,295.43509858815247,16.0,100961,boaco
2022-01-10/2022-01-16,0.0003508933007186599,295.45016177827085,14.0,100149,boaco
2022-01-17/2022-01-23,0.0005091048514347164,295.88846602390623,26.0,100481,boaco
2022-01-24/2022-01-30,0.0003394627889574862,295.3927524959943,21.0,100869,boaco
2022-01-31/2022-02-06,0.00030244951662368566,295.9493836697058,14.0,100746,boaco
2022-02-07/2022-02-13,0.0014269099293315825,295.95171676726625,16.0,100931,boaco
2022-02-14/2022-02-20,0.0027595262185970367,295.25304868667166,14.0,100195,boaco
2022-02-21/2022-02-27,0.000231321513419451,296.4125062698004,12.0,100503,boaco
2022-02-28/2022-03-06,0.0011241208013674194,296.96542239928084,18.0,100842,boaco
2022-03-07/2022-03-13,0.0012772117699559968,297.0235311050544,22.0,100653,boaco
2022-03-14/2022-03-20,0.0007581264656740975,297.29638705614525,14.0,100234,boaco
2022-03-21/2022-03-27,0.0010513702647853799,297.4666556123689,12.0,100088,boaco
2022-03-28/2022-04-03,0.00048634441019378626,298.8103106002277,11.0,100625,boaco
2022-04-04/2022-04-10,0.0008357501100641474,298.1233076670239,10.0,100629,boaco
2022-04-11/2022-04-17,0.0014391100853322735,298.827691440715,12.0,100108,boaco
2022-04-18/2022-04-24,0.005994766572963642,296.9481466262371,8.0,100475,boaco
2022-04-25/2022-05-01,0.005172017016735252,297.6205865607442,17.0,100785,boaco
2022-05-02/2022-05-08,0.0008117592716964291,298.73919658491997,10.0,100403,boaco
2022-05-09/2022-05-15,0.00799158763591414,297.96220130144286,27.0,100605,boaco
2022-05-16/2022-05-22,0.011754144075130639,296.1938987470945,15.0,100632,boaco
2022-05-23/2022-05-29,0.008851116457644987,296.7693322702674,41.0,100589,boaco
2022-05-30/2022-06-05,0.01539863467923262,296.41411385283857,44.0,100338,boaco
2022-06-06/2022-06-12,0.01996054661968813,294.7316620977725,82.0,100772,boaco
2022-06-13/2022-06-19,0.007296869893485203,295.68339636455033,43.0,100837,boaco
2022-06-20/2022-06-26,0.0026988909513293536,296.22401462203464,46.0,100460,boaco
2022-06-27/2022-07-03,0.0060656590936913,296.2216087578973,39.0,100079,boaco
2022-07-04/2022-07-10,0.0032266775621169084,296.12731232925637,33.0,100230,boaco
2022-07-11/2022-07-17,0.004402940942596522,296.5664886188689,46.0,100466,boaco
2022-07-18/2022-07-24,0.003335837698098304,296.3331396781315,38.0,100507,boaco
2022-07-25/2022-07-31,0.007135880222364355,295.57668931741097,38.0,100414,boaco
2022-08-01/2022-08-07,0.009040356183084436,295.7267091139042,63.0,100770,boaco
2022-08-08/2022-08-14,0.004866636892594552,296.5670477925236,92.0,100867,boaco
2022-08-15/2022-08-21,0.008454020079700296,296.5608682966223,93.0,100525,boaco
2022-08-22/2022-08-28,0.019378257619963694,296.29766063762577,93.0,100546,boaco
2022-08-29/2022-09-04,0.00432605394903617,296.99537000851177,95.0,100915,boaco
2022-09-05/2022-09-11,0.010629045797412409,296.4103732202568,67.0,100862,boaco
2022-09-12/2022-09-18,0.005626574910842834,296.59636527859107,67.0,100881,boaco
2022-09-19/2022-09-25,0.012535801337075611,296.64395081542,70.0,100150,boaco
2022-09-26/2022-10-02,0.0046454982199801926,296.37379891023386,70.0,100394,boaco
2022-10-03/2022-10-09,0.02553070088105631,296.20037451781684,100.0,100577,boaco
2022-10-10/2022-10-16,0.0029317195026526827,296.8005970911263,109.0,100526,boaco
2022-10-17/2022-10-23,0.001973936777672474,296.66207059345095,123.0,100587,boaco
2022-10-24/2022-10-30,0.0024604747098469254,296.630148388981,100.0,100662,boaco
2022-10-31/2022-11-06,0.016204592335598438,296.35614672075116,98.0,100682,boaco
2019-10-14/2019-10-20,0.013321129270587396,298.665653715533,495.0,100396,chinandega
2019-10-21/2019-10-27,0.005450452506842573,299.7562025240173,426.0,100100,chinandega
2019-10-28/2019-11-03,0.000692004009641736,300.7114923619968,337.0,100542,chinandega
2019-11-04/2019-11-10,0.003319343041208325,300.4070006898551,227.0,100904,chinandega
2019-11-11/2019-11-17,0.002504286224702863,300.0544350027982,223.0,100980,chinandega
2019-11-18/2019-11-24,0.00031663198959848947,301.005216635666,155.0,100747,chinandega
2019-11-25/2019-12-01,1.3155948457571347e-05,300.53126841601875,98.0,100965,chinandega
2019-12-02/2019-12-08,4.2875298865048824e-05,301.54945103356556,112.0,100534,chinandega
2019-12-09/2019-12-15,9.317607952770939e-05,301.46323295608283,68.0,100748,chinandega
2019-12-16/2019-12-22,2.53156559572672e-05,301.8751594763152,61.0,100093,chinandega
2019-12-23/2019-12-29,0.00010149550293434734,301.8760641563823,64.0,100920,chinandega
2019-12-30/2020-01-05,6.001757400701353e-06,302.35141970660936,64.0,100987,chinandega
2020-01-06/2020-01-12,1.8150983629789057e-05,302.39269579305653,77.0,100732,chinandega
2020-01-13/2020-01-19,0.00010054667000492244,302.0239766927517,108.0,100870,chinandega
2020-01-20/2020-01-26,0.0004686012145453559,301.0637180159034,107.0,100076,chinandega
2020-01-27/2020-02-02,2.078767515009474e-06,302.5794953331559,130.0,100451,chinandega
2020-02-03/2020-02-09,1.747090871639142e-06,303.0326705498405,113.0,100526,chinandega
2020-02-10/2020-02-16,7.851851080431516e-07,303.58182325734066,90.0,100974,chinandega
2020-02-17/2020-02-23,0.0005056832856250861,302.4903272578165,82.0,100010,chinandega
2020-02-24/2020-03-01,1.1159546950990925e-05,303.04857682239935,75.0,100509,chinandega
2020-03-02/2020-03-08,9.108303662873495e-05,303.5074917244294,79.0,100127,chinandega
2020-03-09/2020-03-15,2.5191491540899258e-05,303.81570825840237,42.0,100067,chinandega
2020-03-16/2020-03-22,0.00010173383273938245,303.564466956417,28.0,100889,chinandega
2020-03-23/2020-03-29,0.0005112146576558202,303.4045182708195,21.0,100721,chinandega
2020-03-30/2020-04-05,0.00024406770189085167,304.43741397499053,10.0,100891,chinandega
2020-04-06/2020-04-12,0.0011182209840552182,303.4527479745395,20.0,100128,chinandega
2020-04-13/2020-04-19,0.0004181863538026093,302.9039036331275,20.0,100239,chinandega
2020-04-20/2020-04-26,0.0003466805286375742,304.3052569702445,30.0,100425,chinandega
2020-04-27/2020-05-03,0.0007669856847374887,304.5064785523059,14.0,100150,chinandega
2020-05-04/2020-05-10,0.00954333200631633,301.90677174251186,13.0,100016,chinandega
2020-05-11/2020-05-17,0.014469655216442195,300.7365207322575,8.0,100095,chinandega
2020-05-18/2020-05-24,0.015711963463442696,300.3247512829552,11.0,100310,chinandega
2020-05-25/2020-05-31,0.03223195131935102,297.8834180833851,15.0,100248,chinandega
2020-06-01/2020-06-07,0.005536530345600882,300.05066325324196,24.0,100392,chinandega
2020-06-08/2020-06-14,0.013031806896260843,300.0501598435054,24.0,100956,chinandega
2020-06-15/2020-06-21,0.0029727450248864884,301.2629235237928,46.0,100999,chinandega
2020-06-22/2020-06-28,0.003594699557460714,300.44443750669524,43.0,100393,chinandega
2020-06-29/2020-07-05,0.005833568936131708,300.68343467870346,45.0,100520,chinandega
2020-07-06/2020-07-12,0.0007954909983723427,301.3908911168854,55.0,100319,chinandega
2020-07-13/2020-07-19,0.005982646643102973,300.8022664593864,59.0,100551,chinandega
2020-07-20/2020-07-26,0.005495971666077305,300.6133366728285,50.0,100570,chinandega
2020-07-27/2020-08-02,0.008543286701498195,300.5778596868083,49.0,100627,chinandega
2020-08-03/2020-08-09,0.002604752946767036,301.719167629279,64.0,100248,chinandega
2020-08-10/2020-08-16,0.022241904119844173,299.5776696388003,56.0,100772,chinandega
2020-08-17/2020-08-23,0.014185524166115444,298.6117015652976,51.0,100143,chinandega
2020-08-24/2020-08-30,0.006069128273494798,299.69462115965445,79.0,100177,chinandega
2020-08-31/2020-09-06,0.011968325020180044,299.1262795427524,68.0,100918,chinandega
